customer_id,purchase_date,product_id,product_name,quantity,total_amount
92,2023-11-02,104,Widget D,4,96.5
80,2023-04-11,103,Widget C,4,33.78
53,2023-11-29,104,Widget D,2,10.56
31,2023-07-08,104,Widget D,1,70.3
23,2023-09-02,103,Widget C,3,12.87
96,2023-09-03,101,Widget A,5,78.21
40,2023-11-21,101,Widget A,3,85.66
67,2023-10-26,105,Widget E,3,94.3
67,2023-04-30,101,Widget A,3,65.97
53,2023-12-29,103,Widget C,1,74.91
71,2023-10-17,105,Widget E,1,25.1
12,2023-04-06,104,Widget D,1,28.13
80,2023-07-09,103,Widget C,5,73.36
69,2023-10-18,103,Widget C,3,19.52
49,2023-12-24,101,Widget A,4,71.84
96,2023-07-20,102,Widget B,3,65.42
7,2023-12-17,105,Widget E,5,56.53
58,2023-07-03,102,Widget B,5,15.68
26,2023-03-08,105,Widget E,3,37.62
95,2023-04-28,104,Widget D,3,86.0
99,2023-05-06,104,Widget D,2,21.51
84,2023-11-22,103,Widget C,5,27.35
11,2023-04-08,101,Widget A,2,84.88
42,2023-07-02,101,Widget A,4,24.12
86,2023-11-07,103,Widget C,4,97.09
10,2024-01-03,105,Widget E,4,47.33
89,2023-10-12,101,Widget A,4,16.49
82,2023-02-15,105,Widget E,3,50.78
44,2023-10-16,103,Widget C,5,15.8
68,2023-11-03,101,Widget A,5,96.8
18,2023-11-20,102,Widget B,2,90.63
13,2024-02-01,101,Widget A,2,81.66
75,2023-09-25,101,Widget A,4,57.95
100,2023-02-22,105,Widget E,1,95.25
40,2024-01-07,101,Widget A,1,13.14
27,2023-06-20,104,Widget D,3,22.6
58,2024-02-09,104,Widget D,2,34.43
94,2023-06-24,105,Widget E,4,88.73
21,2023-11-20,104,Widget D,1,24.66
28,2023-12-29,103,Widget C,4,74.92
25,2024-01-17,102,Widget B,3,15.91
44,2023-06-28,104,Widget D,3,62.57
98,2023-09-17,104,Widget D,3,96.99
9,2023-10-11,101,Widget A,3,82.43
12,2023-02-25,104,Widget D,1,63.72
2,2023-05-21,105,Widget E,4,91.62
14,2023-09-03,101,Widget A,4,62.91
32,2023-02-24,102,Widget B,2,99.68
54,2023-10-22,101,Widget A,4,70.86
66,2023-05-14,105,Widget E,3,42.48
7,2023-07-27,103,Widget C,5,17.07
23,2023-07-23,104,Widget D,5,47.43
37,2024-02-09,104,Widget D,4,54.64
4,2023-06-01,101,Widget A,2,16.91
79,2024-01-12,102,Widget B,1,42.86
62,2023-07-06,105,Widget E,2,20.05
38,2023-11-20,104,Widget D,1,27.99
18,2023-05-06,103,Widget C,3,23.29
88,2023-10-19,104,Widget D,3,84.6
20,2023-04-06,104,Widget D,3,48.01
94,2023-05-23,105,Widget E,4,53.99
51,2023-04-02,104,Widget D,2,38.83
31,2023-07-07,104,Widget D,1,97.48
50,2023-09-08,101,Widget A,4,21.82
19,2023-04-11,105,Widget E,4,98.32
63,2023-05-15,103,Widget C,2,75.08
2,2023-06-24,104,Widget D,4,47.89
96,2023-10-27,105,Widget E,2,33.91
100,2023-09-07,102,Widget B,3,52.97
6,2023-04-30,105,Widget E,4,53.24
17,2023-05-03,103,Widget C,5,87.94
61,2024-01-12,102,Widget B,2,83.62
21,2023-12-01,103,Widget C,4,15.71
42,2023-11-21,102,Widget B,1,16.88
70,2023-03-27,105,Widget E,5,36.29
61,2024-02-02,105,Widget E,3,88.46
9,2023-10-27,102,Widget B,2,91.01
1,2023-03-29,101,Widget A,3,21.84
1,2023-04-28,102,Widget B,1,37.03
38,2023-05-18,102,Widget B,2,57.7
14,2024-01-06,103,Widget C,3,85.84
14,2023-07-17,105,Widget E,4,10.65
56,2023-06-07,105,Widget E,3,80.49
91,2023-06-29,103,Widget C,5,45.38
40,2023-05-08,105,Widget E,3,58.31
27,2024-01-09,101,Widget A,1,65.54
4,2023-10-05,104,Widget D,3,25.61
38,2023-05-27,104,Widget D,5,24.73
50,2023-08-10,102,Widget B,2,52.47
85,2023-06-20,103,Widget C,4,46.73
14,2024-01-16,101,Widget A,1,32.26
83,2023-09-28,105,Widget E,3,41.87
97,2023-05-29,104,Widget D,4,86.87
18,2023-11-05,104,Widget D,2,12.28
65,2023-07-01,102,Widget B,4,41.42
43,2023-06-27,104,Widget D,4,28.68
